Time  [ms].9,,Battery Power* [uW],,,
7420,,startFetch(),,,
7509,89,2362485,210261165,,
7519,10,endFetch(),#VALUE!,,
7521,2,SendCommand(),#VALUE!,,
7612,91,2049757,186527887,,
7719,107,1923590,205824130,,
7817,98,1553782,152270636,,
7917,100,1126400,112640000,,
8016,99,906454,89738946,,
8119,103,805548,82971444,,
8219,100,1222457,122245700,,
8319,100,1264617,126461700,,
8420,101,1217497,122967197,,
8520,100,1217497,121749700,,
8628,108,1244777,134435916,,
8721,93,1379945,128334885,,
8820,99,1208153,119607147,,
8920,100,1270994,127099400,,
9023,103,1210057,124635871,,
9122,99,1192697,118077003,,576.5521006
9223,101,397592,40156792,,
9323,100,385191,38519100,,
9422,99,392631,38870469,,
9523,101,372792,37651992,,
9625,102,365352,37265904,,
9724,99,703355,69632145,,
9824,100,688475,68847500,,
9926,102,663675,67694850,,
10023,97,909454,88217038,,
10126,103,619035,63760605,,
10227,101,671115,67782615,,
10327,100,693434,69343400,,
10427,100,713274,71327400,,
10526,99,731403,72408897,,
10631,105,688475,72289875,,
10729,98,693434,67956532,,
10830,101,666155,67281655,,
10930,100,643835,64383500,,
11031,101,641355,64776855,,
11131,100,641355,64135500,,
11232,101,666155,67281655,,
11332,100,688475,68847500,,
11432,100,783771,78377100,,
11472,40,startFetch(),#VALUE!,,
11531,59,1492481,88056379,,
11555,24,endFetch(),#VALUE!,,
11557,2,SendCommand(),#VALUE!,,
11633,76,1066558,81058408,,
11733,100,1077032,107703200,,
11833,100,876498,87649800,,
11935,102,958473,97764246,,
12038,103,626120,64490360,,
12136,98,603430,59136140,,
12236,100,896249,89624900,,
12337,101,921049,93025949,,
12436,99,931161,92184939,,
12538,102,923529,94199958,,
12645,107,912332,97619524,,
12738,93,1026530,95467290,,
12840,102,851609,86864118,,
12938,98,913801,89552498,,
13041,103,854088,87971064,,
13141,100,950808,95080800,,
13241,100,908649,90864900,,419.5161372
13341,100,923529,92352900,,
13454,113,778021,87916373,,
13543,89,1259939,112134571,,
13642,99,842761,83433339,,
13746,104,599445,62342280,,
13846,100,489557,48955700,,
13945,99,734788,72744012,,
14048,103,729828,75172284,,
14147,99,702548,69552252,,
14249,102,774468,78995736,,
14353,104,595445,61926280,,
14451,98,664885,65158730,,
14550,99,1050673,104016627,,
14651,101,1018433,102861733,,
14752,101,1070513,108121813,,
14855,103,1112673,114605319,,
14954,99,1090353,107944947,,
15050,96,1142433,109673568,,
15159,109,708209,77194781,,
15258,99,821492,81327708,,
15354,96,1419100,136233600,,
15405,51,1429020,72880020,,
15506,101,1421580,143579580,,
15605,99,1072993,106226307,,
15705,100,1075473,107547300,,
15805,100,1087873,108787300,,
15907,102,1050673,107168646,,
16006,99,1040753,103034547,,
16104,98,665070,65176860,,
16205,101,646315,65277815,,
16306,101,703473,71050773,,
16407,101,663675,67031175,,
16503,96,1032636,99133056,,
16607,104,646315,67216760,,
16706,99,668561,66187539,,
16808,102,666154,67947708,,
16908,100,731403,73140300,,
17009,101,678555,68534055,,
17108,99,638373,63198927,,
17214,106,752688,79784928,,
17315,101,563957,56959657,,
17415,100,571397,57139700,,
17518,103,601156,61919068,,
17610,92,690143,63493156,,
17711,101,452741,45726841,,
17812,101,491144,49605544,,
17913,101,437477,44185177,,
18014,101,499477,50447177,,
18116,102,754192,76927584,,
18213,97,908742,88147974,,
18315,102,933181,95184462,,
18420,105,1215968,127676640,,
18520,100,960032,96003200,,
18623,103,964992,99394176,,
18717,94,1919060,180391640,,
18818,101,1633578,164991378,,
18920,102,1671758,170519316,,
19018,98,2028292,198772616,,
19120,102,1453718,148279236,,
19220,100,1758074,175807400,,
19320,100,1677037,167703700,,
19420,100,1980439,198043900,,
19521,101,1880885,189969385,,
19627,106,1353897,143513082,,
19723,96,1616624,155195904,,
19824,101,1348936,136242536,,2224.46297
